Age,Gender,black,hispanic,other,white
18 - 24,female,3651.4160277749997,4652.7969951335845,1010.2693478383421,5184.321645802042
18 - 24,male,2938.2887078602243,5873.6817480060245,198.1126682318112,5811.9340370857835
25 - 34,female,6014.6892730036425,3558.3716360395783,832.0684582455499,11685.93761973003
25 - 34,male,2343.063838084711,6504.250119761825,326.4436430199992,12530.25165397259
35 - 44,female,4226.894699221358,3847.212542375802,584.7460435459917,11686.922727618243
35 - 44,male,2968.611830049555,2939.759986359548,219.30266013214896,13431.323830038104
45 - 54,female,,,3684.7111517804287,17913.362506761754
45 - 54,male,3216.0891789562743,2036.3376667555845,174.6946722578462,15232.874187520234
> 54,female,,7317.618826451034,11122.20499858969,30039.455500087934
> 54,male,5248.946445049237,2259.970479117021,355.44635635819435,33878.616291383296
